Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity,Month,Year
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Merton,White,Feb,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Brent,Asian,Mar,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Ealing,Black,Mar,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Brent,Black,Apr,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Brent,Black,Apr,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Brent,Black,May,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Brent,Asian,Jun,2003
1,35 to 44 ,Female,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian,Aug,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Westminster,White,Aug,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Brent,Asian,Aug,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Brent,Black,Sep,2003
1,0 to 12,Female,Shooting,Not Domestic Abuse,Sep-03,Murder,Solved,Ealing,Black,Sep,2003
1,45 to 54,Female,Other Methods Of Killing,Domestic Abuse,Oct-03,Murder,Solved,Brent,Black,Oct,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Harrow,White,Apr,2003
1,20 to 24,Male,Not known/Not Recorded ,Not Domestic Abuse,Sep-03,Murder,Solved,Harrow,White,Sep,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Harrow,Asian,Nov,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Camden,Black,Feb,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Unsolved,Islington,Black,Apr,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Camden,Black,Sep,2003
1,35 to 44 ,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,Jan,2003
1,25 to 34,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,Jan,2003
1,25 to 34,Female,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Camden,White,Jan,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Barnet,White,Mar,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Barnet,White,Jun,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Barnet,Black,Jul,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,Sep-03,Murder,Solved,Ealing ,White,Sep,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,Black,Jan,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,White,Jan,2003
1,65 and over,Female,Not known/Not Recorded ,Not Domestic Abuse,Feb-03,Murder,Unsolved,Ealing,White,Feb,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Ealing,White,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Ealing,Asian,Jun,2003
1,0 to 12,Female,Not known/Not Recorded ,Not Domestic Abuse,Aug-03,Murder,Solved,Ealing,Asian,Aug,2003
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Islington,White,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Islington,White,Sep,2003
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Islington,White,Oct,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Islington,White,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Haringey,White,Jan,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black,Feb,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,Black,Feb,2003
1,20 to 24,Male,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Haringey,White,Feb,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black,Mar,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Ealing,Black,Mar,2003
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Haringey,Black,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Haringey,White,Apr,2003
1,35 to 44 ,Female,Other Methods Of Killing,Not Domestic Abuse,May-03,Manslaughter,Solved,Haringey,White,May,2003
1,65 and over,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White,Jun,2003
1,25 to 34,Male,Blunt Implement,Domestic Abuse,Jun-03,Murder,Solved,Haringey,Black,Jun,2003
1,0 to 12,Female,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Haringey,White,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,White,Oct,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Haringey,Black,Oct,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Haringey,White,Nov,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Domestic Abuse,Nov-03,Murder,Solved,Haringey,White,Nov,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Solved,Southwark,White,Mar,2003
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black,Mar,2003
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Mar-03,Murder,Solved,Southwark,Black,Mar,2003
1,65 and over,Male,Blunt Implement,Domestic Abuse,Apr-03,Murder,Solved,Southwark,White,Apr,2003
1,55 to 64,Male,Shooting,Not Domestic Abuse,May-03,Murder,Solved,Southwark,White,May,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,May-03,Murder,Unsolved,Southwark,Black,May,2003
1,45 to 54,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Southwark,White,May,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,Black,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White,Jul,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Southwark,White,Jul,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Southwark,Black,Sep,2003
1,35 to 44 ,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Ealing,White,Sep,2003
1,55 to 64,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Southwark,White,Oct,2003
1,25 to 34,Male,Blunt Implement,Not Domestic Abuse,May-03,Murder,Solved,Lewisham,White,May,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Lewisham,Asian,Jun,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black,Sep,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Lewisham,Black,Sep,2003
1,65 and over,Female,Blunt Implement,Domestic Abuse,Sep-03,Murder,Solved,Lewisham,White,Sep,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Lewisham,Black,Nov,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Bromley,White,Apr,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White,Mar,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Greenwich,White,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Ealing,Black,May,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,May-03,Murder,Solved,Greenwich,White,May,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Greenwich,White,Jun,2003
1,35 to 44 ,Male,Not known/Not Recorded ,Not Domestic Abuse,Jul-03,Murder,Solved,Greenwich,White,Jul,2003
1,20 to 24,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Greenwich,White,Sep,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Greenwich,White,Oct,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Nov-03,Murder,Solved,Greenwich,White,Nov,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White,Dec,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Greenwich,White,Dec,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Greenwich,White,Dec,2003
1,35 to 44 ,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Croydon,White,Jan,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Croydon,White,Apr,2003
1,20 to 24,Female,Other Methods Of Killing,Not Domestic Abuse,May-03,Murder,Solved,Croydon,White,May,2003
1,13 to 19,Female,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Croydon,Asian,Jun,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,Asian,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Croydon,White,Jul,2003
1,35 to 44 ,Female,Blunt Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Croydon,Asian,Aug,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Croydon,Asian,Oct,2003
1,13 to 19,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Croydon,White,Dec,2003
1,25 to 34,Female,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Bexley,Asian,Mar,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Sutton,White,Dec,2003
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jan-03,Murder,Solved,Tower Hamlets,White,Jan,2003
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Unsolved,Tower Hamlets,White,Feb,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Tower Hamlets,Black,Mar,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Apr-03,Murder,Solved,Tower Hamlets,Asian,Apr,2003
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White,May,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Tower Hamlets,White,May,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,Asian,Jul,2003
1,65 and over,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Tower Hamlets,White,Jul,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Ealing,Black,Aug,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Tower Hamlets,Asian,Oct,2003
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Tower Hamlets,Asian,Dec,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Redbridge,Asian,Mar,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,Asian,Jun,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Redbridge,White,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White,Jul,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Redbridge,White,Jul,2003
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Aug-03,Murder,Solved,Redbridge,White,Aug,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Redbridge,White,Oct,2003
1,25 to 34,Male,Not known/Not Recorded ,Not Domestic Abuse,May-03,Murder,Solved,Hackney,Black,May,2003
1,25 to 34,Female,Other Methods Of Killing,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black,Jun,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Solved,Hackney,Black,Jun,2003
1,65 and over,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Unsolved,Hackney,White,Jun,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White,Jul,2003
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,White,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Hackney,Black,Jul,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Black,Aug,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Hackney,Asian,Aug,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,Oct,2003
1,25 to 34,Female,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,Oct,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hackney,White,Oct,2003
1,65 and over,Female,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Hackney,Black,Oct,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-03,Murder,Solved,Hackney,White,Nov,2003
1,0 to 12,Female,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Unsolved,Hackney,Black,Dec,2003
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,Dec-03,Murder,Solved,Hackney,White,Dec,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,Asian,Jan,2003
1,45 to 54,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,White,Mar,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Waltham Forest,Black,Mar,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White,Jun,2003
1,20 to 24,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Waltham Forest,White,Jun,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Jul-03,Murder,Solved,Waltham Forest,Black,Jul,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Aug-03,Murder,Solved,Waltham Forest,White,Aug,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian,Oct,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Oct-03,Murder,Solved,Waltham Forest,Asian,Oct,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Dec-03,Murder,Unsolved,Waltham Forest,White,Dec,2003
1,55 to 64,Male,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White,Feb,2003
1,65 and over,Female,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Solved,Barking & Dagenham,White,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Barking & Dagenham,White,Apr,2003
1,35 to 44 ,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Black,Jul,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Barking & Dagenham,Asian,Jul,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Manslaughter,Solved,Barking & Dagenham,Black,Dec,2003
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Mar-03,Murder,Solved,Redbridge,White,Mar,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Enfield,White,Jun,2003
1,20 to 24,Male,Blunt Implement,Not Domestic Abuse,Jun-03,Murder,Solved,Newham,Asian,Jun,2003
1,25 to 34,Male,Knife or Sharp Implement,Domestic Abuse,Oct-03,Murder,Solved,Enfield,Black,Oct,2003
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Enfield,White,Oct,2003
1,55 to 64,Male,Blunt Implement,Domestic Abuse,Nov-03,Murder,Solved,Enfield,White,Nov,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Enfield,White,Dec,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Jan-03,Murder,Unsolved,Newham,Asian,Jan,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Feb-03,Murder,Solved,Newham,Asian,Feb,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Apr-03,Murder,Solved,Newham,Asian,Apr,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jul-03,Murder,Solved,Newham,White,Jul,2003
1,45 to 54,Female,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Newham,White,Jul,2003
1,25 to 34,Female,Knife or Sharp Implement,Domestic Abuse,Jul-03,Murder,Solved,Newham,Asian,Jul,2003
1,45 to 54,Male,Shooting,Not Domestic Abuse,Aug-03,Murder,Solved,Newham,Asian,Aug,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Aug-03,Murder,Solved,Newham,Asian,Aug,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Newham,Asian,Sep,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Newham,White,Oct,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Ealing,Black,Jul,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,May-03,Murder,Solved,Ealing,White,May,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Havering,White,Aug,2003
1,20 to 24,Male,Other Methods Of Killing,Not Domestic Abuse,Nov-03,Murder,Solved,Havering,White,Nov,2003
1,20 to 24,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-03,Murder,Solved,Havering,White,Nov,2003
1,65 and over,Female,Blunt Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White,Jan,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Mar-03,Murder,Solved,Westminster,White,Mar,2003
1,35 to 44 ,Male,Knife or Sharp Implement,Domestic Abuse,Apr-03,Murder,Solved,Westminster,White,Apr,2003
1,25 to 34,Female,Other Methods Of Killing,Not Domestic Abuse,Jan-03,Murder,Solved,Ealing,Asian,Jan,2003
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic Abuse,Feb-03,Murder,Unsolved,Hammersmith & Fulham,Black,Feb,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Hammersmith & Fulham,Black,Aug,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Nov-03,Murder,Unsolved,Hammersmith & Fulham,Other,Nov,2003
1,20 to 24,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White,Jan,2003
1,45 to 54,Female,Not known/Not Recorded ,Domestic Abuse,Oct-03,Murder,Solved,Ealing,White,Oct,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Jun-03,Murder,Unsolved,Westminster,Asian,Jun,2003
1,25 to 34,Male,Other Methods Of Killing,Not Domestic Abuse,Jul-03,Manslaughter,Solved,Westminster,White,Jul,2003
1,55 to 64,Male,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Manslaughter,Solved,Westminster,White,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Westminster,White,Jan,2003
1,55 to 64,Male,Blunt Implement,Not Domestic Abuse,May-03,Murder,Unsolved,Kensington & Chelsea,White,May,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,Apr-04,Murder,Solved,Wandsworth,White,Apr,2004
1,13 to 19,Male,Blunt Implement,Not Domestic Abuse,Apr-04,Murder,Solved,Wandsworth,Black,Apr,2004
1,20 to 24,Male,Shooting,Not Domestic Abuse,Nov-04,Murder,Solved,Wandsworth,Black,Nov,2004
1,35 to 44 ,Female,Not known/Not Recorded ,Domestic Abuse,Jun-04,Murder,Solved,Kingston Upon Thames,Asian,Jun,2004
1,0 to 12,Male,Other Methods Of Killing,Not Domestic Abuse,Jun-04,Murder,Unsolved,Kingston Upon Thames,Other,Jun,2004
1,35 to 44 ,Female,Other Methods Of Killing,Domestic Abuse,Apr-04,Murder,Solved,Hounslow,Asian,Apr,2004
